"","scen","method","power","X","bt.type","n","nX","nY","rho.XX","rho.YY","rho.XY","prop.corr","group","method.label"
"151",19,"Romano",0.41,11,"ha.resid",1000,1,40,0,0.3,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Romano"
"152",19,"Wstep",0.304,11,"ha.resid",1000,1,40,0,0.3,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Wstep"
"153",20,"bonf.naive",0.186,12,"ha.resid",1000,1,40,0,0.6,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Bonferroni"
"154",20,"holm",0.186,12,"ha.resid",1000,1,40,0,0.6,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Holm"
"156",20,"minP",0.26,12,"ha.resid",1000,1,40,0,0.6,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","minP"
"157",20,"ours.0.01",0.202,12,"ha.resid",1000,1,40,0,0.6,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.01)"
"158",20,"ours.0.05",0.096,12,"ha.resid",1000,1,40,0,0.6,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Global (alpha=0.05)"
"159",20,"Romano",0.34,12,"ha.resid",1000,1,40,0,0.6,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Romano"
"160",20,"Wstep",0.26,12,"ha.resid",1000,1,40,0,0.6,0.05,0.2,"X-Y correlation: 0.05 for 20% of pairs","Wstep"
"161",21,"bonf.naive",0.62,29,"ha.resid",1000,1,40,0,0,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Bonferroni"
"162",21,"holm",0.62,29,"ha.resid",1000,1,40,0,0,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Holm"
"164",21,"minP",0.616,29,"ha.resid",1000,1,40,0,0,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","minP"
"165",21,"ours.0.01",0.666,29,"ha.resid",1000,1,40,0,0,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.01)"
"166",21,"ours.0.05",0.89,29,"ha.resid",1000,1,40,0,0,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.05)"
"167",21,"Romano",0.75,29,"ha.resid",1000,1,40,0,0,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Romano"
"168",21,"Wstep",0.616,29,"ha.resid",1000,1,40,0,0,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Wstep"
"169",22,"bonf.naive",0.6,30,"ha.resid",1000,1,40,0,0.1,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Bonferroni"
"170",22,"holm",0.6,30,"ha.resid",1000,1,40,0,0.1,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Holm"
"172",22,"minP",0.6,30,"ha.resid",1000,1,40,0,0.1,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","minP"
"173",22,"ours.0.01",0.608,30,"ha.resid",1000,1,40,0,0.1,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.01)"
"174",22,"ours.0.05",0.812,30,"ha.resid",1000,1,40,0,0.1,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Global (alpha=0.05)"
"175",22,"Romano",0.77,30,"ha.resid",1000,1,40,0,0.1,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Romano"
"176",22,"Wstep",0.6,30,"ha.resid",1000,1,40,0,0.1,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Wstep"
"177",23,"bonf.naive",0.462,31,"ha.resid",1000,1,40,0,0.3,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Bonferroni"
"178",23,"holm",0.462,31,"ha.resid",1000,1,40,0,0.3,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","Holm"
"180",23,"minP",0.49,31,"ha.resid",1000,1,40,0,0.3,0.05,0.5,"X-Y correlation: 0.05 for 50% of pairs","minP"
